Case ID,Activity,Start,Complete,Classification
trace_5,Incident classification,2016/01/04 11:28:44.000,2016/01/04 11:34:44.000,SAP
trace_5,Initial diagnosis,2016/01/04 11:42:44.000,2016/01/04 11:53:44.000,
trace_5,Resolution and recovery,2016/01/04 16:43:44.000,2016/01/04 17:26:44.000,
trace_5,Incident closure,2016/01/04 17:26:44.000,2016/01/04 17:45:44.000,
trace_6,Incident logging,2016/01/04 13:24:44.000,2016/01/04 13:42:44.000,
trace_6,Incident classification,2016/01/04 13:44:44.000,2016/01/04 13:49:44.000,Citrix
trace_6,Initial diagnosis,2016/01/04 13:58:44.000,2016/01/04 14:07:44.000,
trace_6,Functional escalation,2016/01/04 14:10:44.000,2016/01/04 14:13:44.000,
trace_6,Investigation and diagnosis,2016/01/05 03:26:44.000,2016/01/05 12:02:44.000,
trace_6,Resolution and recovery,2016/01/05 13:02:44.000,2016/01/05 13:25:44.000,
trace_6,Incident closure,2016/01/05 13:25:44.000,2016/01/05 13:44:44.000,
trace_7,Incident logging,2016/01/04 14:22:44.000,2016/01/04 14:33:44.000,
trace_7,Incident classification,2016/01/04 14:33:44.000,2016/01/04 14:40:44.000,SAP
trace_7,Initial diagnosis,2016/01/04 14:54:44.000,2016/01/04 14:59:44.000,
trace_7,Functional escalation,2016/01/04 15:00:44.000,2016/01/04 15:03:44.000,
trace_7,Investigation and diagnosis,2016/01/05 04:09:44.000,2016/01/05 08:54:44.000,
trace_7,Initial diagnosis,2016/01/05 10:00:44.000,2016/01/05 10:13:44.000,
trace_7,Functional escalation,2016/01/05 10:14:44.000,2016/01/05 10:20:44.000,
trace_7,Investigation and diagnosis,2016/01/05 23:28:44.000,2016/01/06 07:05:44.000,
trace_7,Resolution and recovery,2016/01/06 12:21:44.000,2016/01/06 12:56:44.000,
trace_7,Incident closure,2016/01/06 12:57:44.000,2016/01/06 13:02:44.000,
trace_8,Incident logging,2016/01/04 13:06:44.000,2016/01/04 13:16:44.000,
trace_8,Incident classification,2016/01/04 13:18:44.000,2016/01/04 13:22:44.000,SAP
trace_8,Initial diagnosis,2016/01/04 13:32:44.000,2016/01/04 13:38:44.000,
trace_8,Functional escalation,2016/01/04 13:39:44.000,2016/01/04 13:41:44.000,
trace_8,Investigation and diagnosis,2016/01/05 04:01:44.000,2016/01/05 11:39:44.000,
trace_8,Initial diagnosis,2016/01/05 12:48:44.000,2016/01/05 12:57:44.000,
trace_8,Resolution and recovery,2016/01/05 17:40:44.000,2016/01/05 17:55:44.000,
trace_8,Incident closure,2016/01/05 17:56:44.000,2016/01/05 18:19:44.000,
trace_9,Incident logging,2016/01/04 12:39:44.000,2016/01/04 12:47:44.000,
trace_9,Incident classification,2016/01/04 12:49:44.000,2016/01/04 12:51:44.000,SAP
trace_9,Initial diagnosis,2016/01/04 12:58:44.000,2016/01/04 13:08:44.000,
trace_9,Functional escalation,2016/01/04 13:08:44.000,2016/01/04 13:13:44.000,
trace_9,Investigation and diagnosis,2016/01/05 04:00:44.000,2016/01/05 08:03:44.000,
trace_9,Resolution and recovery,2016/01/05 12:49:44.000,2016/01/05 13:46:44.000,
trace_9,Incident closure,2016/01/05 13:47:44.000,2016/01/05 14:07:44.000,
trace_10,Incident logging,2016/01/04 14:04:44.000,2016/01/04 14:22:44.000,
trace_10,Incident classification,2016/01/04 14:22:44.000,2016/01/04 14:27:44.000,Mail
trace_10,Initial diagnosis,2016/01/04 14:41:44.000,2016/01/04 14:56:44.000,
trace_10,Resolution and recovery,2016/01/04 17:39:44.000,2016/01/04 18:02:44.000,
trace_10,Incident closure,2016/01/04 18:04:44.000,2016/01/04 18:16:44.000,
trace_11,Incident logging,2016/01/04 13:08:44.000,2016/01/04 13:14:44.000,
trace_11,Incident classification,2016/01/04 13:15:44.000,2016/01/04 13:21:44.000,SAP
trace_11,Initial diagnosis,2016/01/04 13:28:44.000,2016/01/04 13:33:44.000,
trace_11,Resolution and recovery,2016/01/04 16:25:44.000,2016/01/04 16:59:44.000,
trace_11,Incident closure,2016/01/04 17:00:44.000,2016/01/04 17:14:44.000,
trace_12,Incident logging,2016/01/04 13:52:44.000,2016/01/04 13:54:44.000,
trace_12,Incident classification,2016/01/04 13:55:44.000,2016/01/04 13:57:44.000,Mail
trace_12,Initial diagnosis,2016/01/04 14:06:44.000,2016/01/04 14:19:44.000,
trace_12,Resolution and recovery,2016/01/04 19:29:44.000,2016/01/04 19:50:44.000,
trace_12,Incident closure,2016/01/04 19:50:44.000,2016/01/04 20:01:44.000,
trace_13,Incident logging,2016/01/04 12:51:44.000,2016/01/04 12:51:44.000,
trace_13,Incident classification,2016/01/04 12:51:44.000,2016/01/04 12:51:44.000,SAP
trace_13,Initial diagnosis,2016/01/04 13:00:44.000,2016/01/04 13:06:44.000,
trace_13,Resolution and recovery,2016/01/04 16:18:44.000,2016/01/04 16:18:44.000,
trace_13,Incident closure,2016/01/04 16:19:44.000,2016/01/04 16:30:44.000,
trace_14,Incident logging,2016/01/04 12:04:44.000,2016/01/04 12:21:44.000,
trace_14,Incident classification,2016/01/04 12:22:44.000,2016/01/04 12:31:44.000,Mail
trace_14,Initial diagnosis,2016/01/04 12:38:44.000,2016/01/04 12:40:44.000,
trace_14,Functional escalation,2016/01/04 12:45:44.000,2016/01/04 12:51:44.000,
trace_14,Investigation and diagnosis,2016/01/05 06:44:44.000,2016/01/05 11:31:44.000,
trace_14,Resolution and recovery,2016/01/05 16:59:44.000,2016/01/05 17:58:44.000,
trace_14,Incident closure,2016/01/05 18:00:44.000,2016/01/05 18:07:44.000,
trace_15,Incident logging,2016/01/04 13:20:44.000,2016/01/04 13:26:44.000,
trace_15,Incident classification,2016/01/04 13:26:44.000,2016/01/04 13:31:44.000,SAP
trace_15,Initial diagnosis,2016/01/04 13:39:44.000,2016/01/04 13:46:44.000,
trace_15,Functional escalation,2016/01/04 13:47:44.000,2016/01/04 13:50:44.000,
trace_15,Investigation and diagnosis,2016/01/05 05:13:44.000,2016/01/05 13:04:44.000,
trace_15,Initial diagnosis,2016/01/05 14:17:44.000,2016/01/05 14:27:44.000,
trace_15,Functional escalation,2016/01/05 14:32:44.000,2016/01/05 14:38:44.000,
trace_15,Investigation and diagnosis,2016/01/05 14:38:44.000,2016/01/06 03:15:44.000,
trace_15,Resolution and recovery,2016/01/06 06:05:44.000,2016/01/06 07:10:44.000,
trace_15,Incident closure,2016/01/06 07:10:44.000,2016/01/06 07:32:44.000,
trace_16,Incident logging,2016/01/04 12:41:44.000,2016/01/04 12:42:44.000,
trace_16,Incident classification,2016/01/04 12:43:44.000,2016/01/04 12:48:44.000,Mail
trace_16,Initial diagnosis,2016/01/04 12:52:44.000,2016/01/04 12:58:44.000,
trace_16,Functional escalation,2016/01/04 12:58:44.000,2016/01/04 13:03:44.000,
trace_16,Investigation and diagnosis,2016/01/04 18:04:44.000,2016/01/04 23:39:44.000,
trace_16,Incident closure,2016/01/05 01:40:44.000,2016/01/05 01:48:44.000,
trace_17,Incident logging,2016/01/04 11:05:44.000,2016/01/04 11:13:44.000,
trace_17,Incident classification,2016/01/04 11:14:44.000,2016/01/04 11:15:44.000,Mail
trace_17,Initial diagnosis,2016/01/04 11:25:44.000,2016/01/04 11:35:44.000,
trace_17,Incident closure,2016/01/04 13:36:44.000,2016/01/04 13:51:44.000,
trace_18,Incident logging,2016/01/04 13:45:44.000,2016/01/04 13:54:44.000,
trace_18,Incident classification,2016/01/04 13:56:44.000,2016/01/04 14:04:44.000,Mail
trace_18,Initial diagnosis,2016/01/04 14:08:44.000,2016/01/04 14:11:44.000,
trace_18,Incident closure,2016/01/04 16:14:44.000,2016/01/04 16:34:44.000,
trace_19,Incident logging,2016/01/04 16:09:44.000,2016/01/04 16:16:44.000,
trace_19,Incident classification,2016/01/04 16:18:44.000,2016/01/04 16:25:44.000,Citrix
trace_19,Initial diagnosis,2016/01/04 16:34:44.000,2016/01/04 16:49:44.000,
trace_19,Functional escalation,2016/01/04 16:54:44.000,2016/01/04 16:59:44.000,
trace_19,Investigation and diagnosis,2016/01/05 10:29:44.000,2016/01/05 17:37:44.000,
trace_19,Resolution and recovery,2016/01/05 23:03:44.000,2016/01/05 23:37:44.000,
trace_19,Incident closure,2016/01/05 23:39:44.000,2016/01/05 23:53:44.000,
trace_20,Incident logging,2016/01/04 11:56:44.000,2016/01/04 11:56:44.000,
trace_20,Incident classification,2016/01/04 11:57:44.000,2016/01/04 12:04:44.000,SAP
trace_20,Initial diagnosis,2016/01/04 12:17:44.000,2016/01/04 12:27:44.000,
trace_20,Functional escalation,2016/01/04 12:27:44.000,2016/01/04 12:31:44.000,
trace_20,Investigation and diagnosis,2016/01/04 18:45:44.000,2016/01/04 22:20:44.000,
trace_20,Initial diagnosis,2016/01/04 23:23:44.000,2016/01/04 23:31:44.000,
trace_20,Resolution and recovery,2016/01/05 02:01:44.000,2016/01/05 02:24:44.000,
trace_20,Incident closure,2016/01/05 02:24:44.000,2016/01/05 02:28:44.000,
trace_21,Incident logging,2016/01/04 14:30:44.000,2016/01/04 14:49:44.000,
trace_21,Incident classification,2016/01/04 14:49:44.000,2016/01/04 14:53:44.000,Intranet
trace_21,Initial diagnosis,2016/01/04 15:07:44.000,2016/01/04 15:21:44.000,
trace_21,Resolution and recovery,2016/01/04 16:21:44.000,2016/01/04 16:41:44.000,
trace_21,Incident closure,2016/01/04 16:41:44.000,2016/01/04 16:57:44.000,
trace_22,Incident logging,2016/01/04 13:34:44.000,2016/01/04 13:53:44.000,
trace_22,Incident classification,2016/01/04 13:55:44.000,2016/01/04 14:01:44.000,SAP
trace_22,Initial diagnosis,2016/01/04 14:06:44.000,2016/01/04 14:08:44.000,
trace_22,Resolution and recovery,2016/01/04 17:27:44.000,2016/01/04 18:31:44.000,
trace_22,Incident closure,2016/01/04 18:32:44.000,2016/01/04 18:49:44.000,
trace_23,Incident logging,2016/01/04 14:17:44.000,2016/01/04 14:41:44.000,
trace_23,Incident classification,2016/01/04 14:42:44.000,2016/01/04 14:46:44.000,SAP
trace_23,Initial diagnosis,2016/01/04 14:58:44.000,2016/01/04 15:07:44.000,
trace_23,Resolution and recovery,2016/01/04 19:12:44.000,2016/01/04 20:10:44.000,
trace_23,Incident closure,2016/01/04 20:10:44.000,2016/01/04 20:19:44.000,
trace_24,Incident logging,2016/01/04 14:37:44.000,2016/01/04 14:43:44.000,
trace_24,Incident classification,2016/01/04 14:44:44.000,2016/01/04 14:50:44.000,SAP
trace_24,Initial diagnosis,2016/01/04 15:02:44.000,2016/01/04 15:09:44.000,
trace_24,Resolution and recovery,2016/01/04 18:31:44.000,2016/01/04 19:35:44.000,
trace_24,Incident closure,2016/01/04 19:38:44.000,2016/01/04 19:48:44.000,
trace_25,Incident logging,2016/01/04 13:29:44.000,2016/01/04 13:48:44.000,
trace_25,Incident classification,2016/01/04 13:50:44.000,2016/01/04 13:53:44.000,Mail
trace_25,Initial diagnosis,2016/01/04 14:00:44.000,2016/01/04 14:12:44.000,
trace_25,Incident closure,2016/01/04 16:13:44.000,2016/01/04 16:21:44.000,
trace_26,Incident logging,2016/01/04 11:51:44.000,2016/01/04 11:53:44.000,
trace_26,Incident classification,2016/01/04 11:56:44.000,2016/01/04 12:02:44.000,SAP
trace_26,Initial diagnosis,2016/01/04 12:11:44.000,2016/01/04 12:29:44.000,
trace_26,Functional escalation,2016/01/04 12:32:44.000,2016/01/04 12:36:44.000,
trace_26,Investigation and diagnosis,2016/01/04 20:02:44.000,2016/01/05 06:00:44.000,
trace_26,Initial diagnosis,2016/01/05 07:07:44.000,2016/01/05 07:12:44.000,
trace_26,Functional escalation,2016/01/05 07:14:44.000,2016/01/05 07:18:44.000,
trace_26,Investigation and diagnosis,2016/01/05 23:28:44.000,2016/01/06 09:47:44.000,
trace_26,Resolution and recovery,2016/01/06 11:26:44.000,2016/01/06 11:34:44.000,
trace_26,Incident closure,2016/01/06 11:36:44.000,2016/01/06 11:52:44.000,
trace_27,Incident logging,2016/01/04 12:30:44.000,2016/01/04 12:36:44.000,
trace_27,Incident classification,2016/01/04 12:36:44.000,2016/01/04 12:46:44.000,SAP
trace_27,Initial diagnosis,2016/01/04 12:52:44.000,2016/01/04 12:54:44.000,
trace_27,Resolution and recovery,2016/01/04 19:47:44.000,2016/01/04 20:35:44.000,
trace_27,Incident closure,2016/01/04 20:37:44.000,2016/01/04 20:55:44.000,
trace_28,Incident logging,2016/01/04 12:13:44.000,2016/01/04 12:20:44.000,
trace_28,Incident classification,2016/01/04 12:21:44.000,2016/01/04 12:23:44.000,SAP
trace_28,Initial diagnosis,2016/01/04 12:23:44.000,2016/01/04 12:30:44.000,
trace_28,Resolution and recovery,2016/01/04 15:28:44.000,2016/01/04 15:37:44.000,
trace_28,Incident closure,2016/01/04 15:37:44.000,2016/01/04 15:53:44.000,
trace_29,Incident logging,2016/01/04 13:47:44.000,2016/01/04 14:05:44.000,
trace_29,Incident classification,2016/01/04 14:08:44.000,2016/01/04 14:11:44.000,Citrix
trace_29,Initial diagnosis,2016/01/04 14:17:44.000,2016/01/04 14:26:44.000,
trace_29,Functional escalation,2016/01/04 14:26:44.000,2016/01/04 14:32:44.000,
trace_29,Investigation and diagnosis,2016/01/04 14:32:44.000,2016/01/05 04:05:44.000,
trace_29,Resolution and recovery,2016/01/05 07:47:44.000,2016/01/05 08:01:44.000,
trace_29,Incident closure,2016/01/05 08:03:44.000,2016/01/05 08:16:44.000,
trace_30,Incident logging,2016/01/04 12:23:44.000,2016/01/04 12:32:44.000,
trace_30,Incident classification,2016/01/04 12:33:44.000,2016/01/04 12:34:44.000,Mail
trace_30,Initial diagnosis,2016/01/04 12:40:44.000,2016/01/04 12:50:44.000,
trace_30,Functional escalation,2016/01/04 12:54:44.000,2016/01/04 13:03:44.000,
trace_30,Investigation and diagnosis,2016/01/05 03:39:44.000,2016/01/05 08:19:44.000,
trace_30,Incident closure,2016/01/05 10:20:44.000,2016/01/05 10:33:44.000,
trace_31,Incident logging,2016/01/04 13:46:44.000,2016/01/04 14:14:44.000,
trace_31,Incident classification,2016/01/04 14:14:44.000,2016/01/04 14:22:44.000,Citrix
trace_31,Initial diagnosis,2016/01/04 14:28:44.000,2016/01/04 14:39:44.000,
trace_31,Functional escalation,2016/01/04 14:46:44.000,2016/01/04 14:54:44.000,
trace_31,Investigation and diagnosis,2016/01/05 02:13:44.000,2016/01/05 11:36:44.000,
trace_31,Resolution and recovery,2016/01/05 16:44:44.000,2016/01/05 17:30:44.000,
trace_31,Incident closure,2016/01/05 17:30:44.000,2016/01/05 17:46:44.000,
trace_32,Incident logging,2016/01/04 11:53:44.000,2016/01/04 12:04:44.000,
trace_32,Incident classification,2016/01/04 12:06:44.000,2016/01/04 12:13:44.000,Mail
trace_32,Initial diagnosis,2016/01/04 12:19:44.000,2016/01/04 12:30:44.000,
trace_32,Resolution and recovery,2016/01/04 13:30:44.000,2016/01/04 13:56:44.000,
trace_32,Incident closure,2016/01/04 13:57:44.000,2016/01/04 14:07:44.000,
trace_33,Incident logging,2016/01/04 13:17:44.000,2016/01/04 13:21:44.000,
trace_33,Incident classification,2016/01/04 13:22:44.000,2016/01/04 13:25:44.000,Mail
trace_33,Initial diagnosis,2016/01/04 13:33:44.000,2016/01/04 13:37:44.000,
trace_33,Incident closure,2016/01/04 15:37:44.000,2016/01/04 15:47:44.000,
trace_34,Incident logging,2016/01/04 13:00:44.000,2016/01/04 13:16:44.000,
trace_34,Incident classification,2016/01/04 13:16:44.000,2016/01/04 13:16:44.000,Citrix
trace_34,Initial diagnosis,2016/01/04 13:23:44.000,2016/01/04 13:32:44.000,
trace_34,Functional escalation,2016/01/04 13:33:44.000,2016/01/04 13:37:44.000,
trace_34,Investigation and diagnosis,2016/01/04 21:10:44.000,2016/01/05 02:38:44.000,
trace_34,Resolution and recovery,2016/01/05 08:34:44.000,2016/01/05 08:57:44.000,
trace_34,Incident closure,2016/01/05 08:59:44.000,2016/01/05 09:22:44.000,
trace_35,Incident logging,2016/01/04 13:42:44.000,2016/01/04 13:59:44.000,
trace_35,Incident classification,2016/01/04 14:01:44.000,2016/01/04 14:06:44.000,SAP
trace_35,Initial diagnosis,2016/01/04 14:12:44.000,2016/01/04 14:25:44.000,
trace_35,Functional escalation,2016/01/04 14:28:44.000,2016/01/04 14:30:44.000,
trace_35,Investigation and diagnosis,2016/01/04 16:45:44.000,2016/01/04 22:37:44.000,
trace_35,Initial diagnosis,2016/01/04 23:40:44.000,2016/01/04 23:47:44.000,
trace_35,Functional escalation,2016/01/04 23:54:44.000,2016/01/04 23:58:44.000,
trace_35,Investigation and diagnosis,2016/01/05 22:51:44.000,2016/01/05 22:51:44.000,
trace_35,Resolution and recovery,2016/01/06 00:06:44.000,2016/01/06 01:14:44.000,
trace_35,Incident closure,2016/01/06 01:14:44.000,2016/01/06 01:34:44.000,
trace_36,Incident logging,2016/01/04 13:27:44.000,2016/01/04 13:36:44.000,
trace_36,Incident classification,2016/01/04 13:36:44.000,2016/01/04 13:36:44.000,SAP
trace_36,Initial diagnosis,2016/01/04 13:50:44.000,2016/01/04 13:57:44.000,
trace_36,Resolution and recovery,2016/01/04 16:54:44.000,2016/01/04 17:24:44.000,
trace_36,Incident closure,2016/01/04 17:25:44.000,2016/01/04 17:33:44.000,
trace_37,Incident logging,2016/01/04 13:44:44.000,2016/01/04 13:52:44.000,
trace_37,Incident classification,2016/01/04 13:53:44.000,2016/01/04 13:54:44.000,Mail
trace_37,Initial diagnosis,2016/01/04 13:57:44.000,2016/01/04 14:01:44.000,
trace_37,Functional escalation,2016/01/04 14:01:44.000,2016/01/04 14:03:44.000,
trace_37,Investigation and diagnosis,2016/01/04 23:38:44.000,2016/01/05 00:44:44.000,
trace_37,Incident closure,2016/01/05 02:44:44.000,2016/01/05 02:58:44.000,
trace_38,Incident logging,2016/01/04 12:57:44.000,2016/01/04 13:18:44.000,
trace_38,Incident classification,2016/01/04 13:18:44.000,2016/01/04 13:26:44.000,Mail
trace_38,Initial diagnosis,2016/01/04 13:36:44.000,2016/01/04 13:39:44.000,
trace_38,Resolution and recovery,2016/01/04 18:16:44.000,2016/01/04 18:16:44.000,
trace_38,Incident closure,2016/01/04 18:17:44.000,2016/01/04 18:31:44.000,
trace_39,Incident logging,2016/01/04 14:01:44.000,2016/01/04 14:16:44.000,
trace_39,Incident classification,2016/01/04 14:17:44.000,2016/01/04 14:22:44.000,SAP
trace_39,Initial diagnosis,2016/01/04 14:31:44.000,2016/01/04 14:39:44.000,
trace_39,Functional escalation,2016/01/04 14:42:44.000,2016/01/04 14:46:44.000,
trace_39,Investigation and diagnosis,2016/01/04 14:46:44.000,2016/01/04 17:54:44.000,
trace_39,Resolution and recovery,2016/01/04 23:07:44.000,2016/01/04 23:19:44.000,
trace_39,Incident closure,2016/01/04 23:20:44.000,2016/01/04 23:32:44.000,
trace_40,Incident logging,2016/01/04 11:45:44.000,2016/01/04 12:02:44.000,
trace_40,Incident classification,2016/01/04 12:03:44.000,2016/01/04 12:08:44.000,Mail
trace_40,Initial diagnosis,2016/01/04 12:11:44.000,2016/01/04 12:23:44.000,
trace_40,Resolution and recovery,2016/01/04 15:09:44.000,2016/01/04 15:18:44.000,
trace_40,Incident closure,2016/01/04 15:18:44.000,2016/01/04 15:37:44.000,
trace_41,Incident logging,2016/01/04 11:59:44.000,2016/01/04 11:59:44.000,
trace_41,Incident classification,2016/01/04 12:01:44.000,2016/01/04 12:07:44.000,SAP
trace_41,Initial diagnosis,2016/01/04 12:07:44.000,2016/01/04 12:22:44.000,
trace_41,Resolution and recovery,2016/01/04 14:42:44.000,2016/01/04 15:02:44.000,
trace_41,Incident closure,2016/01/04 15:03:44.000,2016/01/04 15:16:44.000,
trace_42,Incident logging,2016/01/04 13:08:44.000,2016/01/04 13:18:44.000,
trace_42,Incident classification,2016/01/04 13:19:44.000,2016/01/04 13:25:44.000,SAP
trace_42,Initial diagnosis,2016/01/04 13:34:44.000,2016/01/04 13:43:44.000,
trace_42,Functional escalation,2016/01/04 13:47:44.000,2016/01/04 13:53:44.000,
trace_42,Investigation and diagnosis,2016/01/05 02:44:44.000,2016/01/05 11:03:44.000,
trace_42,Initial diagnosis,2016/01/05 12:10:44.000,2016/01/05 12:22:44.000,
trace_42,Incident closure,2016/01/05 14:23:44.000,2016/01/05 14:42:44.000,
trace_43,Incident logging,2016/01/04 13:10:44.000,2016/01/04 13:25:44.000,
trace_43,Incident classification,2016/01/04 13:25:44.000,2016/01/04 13:30:44.000,SAP
trace_43,Initial diagnosis,2016/01/04 13:43:44.000,2016/01/04 13:47:44.000,
trace_43,Resolution and recovery,2016/01/04 19:01:44.000,2016/01/04 19:45:44.000,
trace_43,Incident closure,2016/01/04 19:45:44.000,2016/01/04 20:04:44.000,
trace_44,Incident logging,2016/01/04 13:00:44.000,2016/01/04 13:14:44.000,
trace_44,Incident classification,2016/01/04 13:14:44.000,2016/01/04 13:14:44.000,SAP
trace_44,Initial diagnosis,2016/01/04 13:17:44.000,2016/01/04 13:34:44.000,
trace_44,Resolution and recovery,2016/01/04 17:12:44.000,2016/01/04 17:18:44.000,
trace_44,Incident closure,2016/01/04 17:20:44.000,2016/01/04 17:38:44.000,
trace_45,Incident logging,2016/01/04 13:05:44.000,2016/01/04 13:12:44.000,
trace_45,Incident classification,2016/01/04 13:13:44.000,2016/01/04 13:21:44.000,Mail
trace_45,Initial diagnosis,2016/01/04 13:35:44.000,2016/01/04 13:45:44.000,
trace_45,Resolution and recovery,2016/01/04 15:44:44.000,2016/01/04 16:16:44.000,
trace_45,Incident closure,2016/01/04 16:16:44.000,2016/01/04 16:23:44.000,
trace_46,Incident logging,2016/01/04 12:08:44.000,2016/01/04 12:26:44.000,
trace_46,Incident classification,2016/01/04 12:27:44.000,2016/01/04 12:31:44.000,Mail
trace_46,Initial diagnosis,2016/01/04 12:39:44.000,2016/01/04 12:49:44.000,
trace_46,Resolution and recovery,2016/01/04 16:09:44.000,2016/01/04 16:09:44.000,
trace_46,Incident closure,2016/01/04 16:09:44.000,2016/01/04 16:28:44.000,
trace_47,Incident logging,2016/01/04 12:12:44.000,2016/01/04 12:37:44.000,
trace_47,Incident classification,2016/01/04 12:37:44.000,2016/01/04 12:38:44.000,SAP
trace_47,Initial diagnosis,2016/01/04 12:48:44.000,2016/01/04 12:56:44.000,
trace_47,Resolution and recovery,2016/01/04 20:13:44.000,2016/01/04 20:38:44.000,
trace_47,Incident closure,2016/01/04 20:38:44.000,2016/01/04 20:53:44.000,
trace_48,Incident logging,2016/01/04 11:59:44.000,2016/01/04 12:05:44.000,
trace_48,Incident classification,2016/01/04 12:07:44.000,2016/01/04 12:10:44.000,SAP
trace_48,Initial diagnosis,2016/01/04 12:16:44.000,2016/01/04 12:26:44.000,
trace_48,Functional escalation,2016/01/04 12:28:44.000,2016/01/04 12:35:44.000,
trace_48,Investigation and diagnosis,2016/01/04 23:31:44.000,2016/01/05 02:46:44.000,
trace_48,Initial diagnosis,2016/01/05 03:52:44.000,2016/01/05 04:01:44.000,
trace_48,Functional escalation,2016/01/05 04:04:44.000,2016/01/05 04:08:44.000,
trace_48,Investigation and diagnosis,2016/01/05 19:51:44.000,2016/01/06 03:06:44.000,
trace_48,Resolution and recovery,2016/01/06 05:44:44.000,2016/01/06 06:11:44.000,
trace_48,Incident closure,2016/01/06 06:12:44.000,2016/01/06 06:25:44.000,
trace_49,Incident logging,2016/01/04 11:52:44.000,2016/01/04 11:58:44.000,
trace_49,Incident classification,2016/01/04 11:58:44.000,2016/01/04 12:08:44.000,Mail
trace_49,Initial diagnosis,2016/01/04 12:17:44.000,2016/01/04 12:20:44.000,
trace_49,Resolution and recovery,2016/01/04 17:49:44.000,2016/01/04 18:28:44.000,
trace_49,Incident closure,2016/01/04 18:28:44.000,2016/01/04 18:49:44.000,
trace_50,Incident logging,2016/01/04 12:54:44.000,2016/01/04 12:58:44.000,
trace_50,Incident classification,2016/01/04 13:00:44.000,2016/01/04 13:04:44.000,SAP
trace_50,Initial diagnosis,2016/01/04 13:11:44.000,2016/01/04 13:21:44.000,
trace_50,Functional escalation,2016/01/04 13:22:44.000,2016/01/04 13:26:44.000,
trace_50,Investigation and diagnosis,2016/01/05 01:24:44.000,2016/01/05 01:24:44.000,
trace_50,Resolution and recovery,2016/01/05 05:32:44.000,2016/01/05 06:51:44.000,
trace_50,Incident closure,2016/01/05 06:51:44.000,2016/01/05 07:09:44.000,
trace_51,Incident logging,2016/01/04 11:57:44.000,2016/01/04 12:10:44.000,
trace_51,Incident classification,2016/01/04 12:10:44.000,2016/01/04 12:14:44.000,SAP
trace_51,Initial diagnosis,2016/01/04 12:24:44.000,2016/01/04 12:30:44.000,
trace_51,Resolution and recovery,2016/01/04 17:01:44.000,2016/01/04 17:30:44.000,
